

,时段,人员,“衣”,食,住,行,建筑类型
固定人口,永久(20年以上),原居民,?,?,?,?,现有
,长期(10~20年),?,?,?,?,?,拆除
,中期(5~10年),?,?,?,?,?,保护
,短期(1~5年),?,?,?,?,?,改建
流动人口,长住(几个月),?,?,?,?,?,扩建
,小住(几周),?,?,?,?,?,重建
,留宿(几天),?,?,?,?,?,新建
,过境(当日),?,?,?,?,?,发展
,,,,,,,



人员,,住,,,,衣,行,时段
描述,工作,不同时段身处何处,,,住处,爱好,出行工具,居住年份
,,上午,下午,晚上,,,,
工厂工人,工厂流水线,工厂,工厂,普通居住区,普通居住区,,自行车/电瓶车,5
工厂主管,工厂管理,工厂,工厂,小区,小区,,自行车/电瓶车/汽车,10
工厂老板,工厂运营,外省,工厂,娱乐会所,酒店,,汽车,1天
水岸管理,城管,船,船,船,船,,自行车/电瓶车,20
青年医生,医生,医院/家,医院/家,医院/家,普通居住区/小区,,自行车/电瓶车/汽车,20
初老期医生,医生,医院/家,医院/家,医院/家,普通居住区/小区,,自行车/电瓶车,30
护士,护士,医院/家,医院/家,医院/家,普通居住区/小区,,自行车/电瓶车/汽车,8
黄包车夫,黄包车夫,各种地方,各种地方,各种地方,普通居住区/小区,,人力/电动黄包车,5
粉刷工人,粉刷工人,工地/小区,工地/小区,家,普通居住区,,自行车/电瓶车,3
买菜妇女,退休家庭主妇,菜场/家,家,家/岸边/公园,普通居住区/小区,,步行/自行车/电瓶车,20
小店老板/老板娘,小店老板/老板娘,店,店,家,普通居住区/小区,,步行/自行车/电瓶车,10
服装店老板,服装店老板,店,店,家,普通居住区/小区,,步行/自行车/电瓶车/汽车,5
退休老人,无,家,家,家,普通居住区/小区,,步行/自行车,80
,船工(河道治理),,,,船/田郊老宅,喝酒,船/电瓶车,52
,沙县小吃老板,,,,店内,看电视剧,电瓶车/小面包,8
,小学生,,,,镇内住宅楼,芭比娃娃、动画片,步行/爷爷的电动三轮,11
,程序员/互联网公司股东,,,,东北侧的民宅,写代码、钓鱼、划船、看书、看电影、打游戏,轿车/越野车/小快艇/电瓶车,3
,植物学家,,,,东北侧水塘边民居,看书、看文献、划船、骑车、台球,轿车,5
,水产养殖户(鳖),,,,水塘边民宅,喝酒、钓鱼、看电视剧,货车/轿车/电瓶车,16
,作家,,,,北侧民居,看书、看电影、瑜伽、做菜,轿车/单车,3
,生物研究院研究员,,,,北侧研究院宿舍,打游戏、钓鱼、慢跑、看电影,轿车/单车,2
,机械维修员(机器人维修),,,,厂区宿舍,打游戏、骑车、看连续剧,电瓶车,1
,前端程序员,,,,阿里居住区,看书、看连续剧、看电影、慢跑,电瓶车/轿车,2
,算法工程师,,,,阿里居住区,打篮球、打游戏、看电影、看书,电瓶车,1
,水质监测员,,,,水库宿舍,喝酒、看电视剧、打牌,电瓶车/轿车,6
,画家,,,,北部民宅,画画、看电影、摄影、钓鱼、骑车,轿车/单车,3
,编剧,,,,镇内旅馆,摄影、看书、看电影、钓鱼、骑车,单车/轿车/商务车,0.5
,导演,,,,镇内旅馆,看电影、拍照、钓鱼,商务车、轿车,0.5
,厨师,,,,镇内住宅楼,喝酒、抗日神剧、钓鱼,轿车/电瓶车,8
,农民,,,,镇内住宅楼/郊外住宅,种田、养花、看剧,电动三轮车/小货车,48



描述,工作,不同时段身处何处,,,住处,爱好,出行工具,居住年份
,,上午,下午,晚上,,,,
"沈菊民 男 村支书 50岁
研究生村官，现在日常处理各种村中事务，兼街道纠纷调解员。虽把街坊邻居关系处理好了，但家里却鸡飞狗跳，儿女们天天闯祸。",村支书,村支办,村支办,家,普通居住区/小区,,自行车/电瓶车/汽车,20
"孙骄百 男 退休 78岁
以见证过世纪交迭为荣。没事爱在大棚里转悠，跟超级杂交茭白们培养感情。每天午后必和李大妈赵大妈张大妈排排坐晒太阳唠闲嗑。",退休农民,农田,农田/住宅区,家 ,普通居住区/小区,,自行车/电瓶车/汽车,80
"郭达 男 包工头 45岁
近一个月来负责镇里改造工程的监管，晚上经常和工人们一起吃夜宵，麻辣烫不要辣是他的最爱。",包工头,工地,工地,家/排挡,普通居住区/小区,,自行车/电瓶车/汽车,30
"吴寥 男 无业人士 34岁
房产富人。把几十套房子的收租日期都定在不同时间，是为了每天都有事干，不那么无聊。",包租婆,居住区/街道,居住区/街道,居住区/街道,普通居住区/小区,,自行车/电瓶车/汽车,40
"游客孟吕悠 女 大学生 19岁
嘉兴市内大学生，国庆长假打算和闺蜜一起乌镇－西塘－丁栅玩一遍，计划在丁栅停留一天时间。",大学生,景区,景区,酒店,酒店,,步行/汽车,1天
"张奇奇 男 画家 56岁
烫发成瘾的知名画家。小住于此二三月，看看风土人情，积攒灵感。",画家,老区,老区,住宅区,普通居住区/小区,踏青/采风,步行,2-3月
"费长坤 男 电力检修工 32岁
昼息夜行，高空作业，但患有社交恐惧症的费长坤热爱这份工作",电力检修工,街道,街道,家,普通居住区/小区,,自行车/电瓶车,20
"沈甲鱼 男 回乡大学生 26岁
沈菊民的大儿子。出国深造后还是选择回丁栅发展，一是改善家乡老百姓的生活，二是放不下家里三个弟弟妹妹。",大学生,家,家,家,普通居住区/小区,,自行车/电瓶车,1
"游客洪小豆 女 小学生 9岁
“秋游啦！今天秋高气爽，老师说是去丁册，离嘉善可远啦，坐车坐了10分钟呢！我都等不及了！”——洪小豆今日日记",小学生,老区,老区,,,,步行/公交车,半天
"罗神通 女 物流公司老总 44岁
带领团队一行人来丁栅1505050号空间传送节点进行视察工作，在此地逗留一个星期左右。",,,,,,,,
"上宫毅 义工 23岁
为了完成每年的社会贡献评定，目前在丁栅村养老院里做义工，每天跟老人们聊聊天、陪他们玩玩过时的VR游戏。",义工,养老院,养老院,养老院,普通居住区/小区,Vr游戏,步行/电瓶车,1
"袁霸天 男 消防局管理控制人员 29岁
平日勤勤恳恳，任劳任怨。即将与男朋友结婚的准新郎。",消防局管理控制人员,消防局,消防局,家,普通居住区/小区,,自行车/电瓶车/汽车,5
"托尼 男 植发师 33岁
连锁植发机构丁栅分店的店长，正在招收学徒。",植发师,理发店,理发店,理发店,普通居住区/小区,,自行车/电瓶车/汽车,8
"苏倩 女 作家 60岁
大器晚成的散文家，喜欢契诃夫，爱吃番茄但不吃番茄酱，闲暇时间会培养细胞，陶冶情操。",作家,街道,街道,住宅,普通居住区/小区,踏青/采风,自行车/电瓶车/汽车,5
"冼晓忆 男 作曲家 26岁
著名作曲家冼星海的后代，善于在中国民乐中加入电子迷幻元素。当前遭遇创作瓶颈期，来到丁栅采风。",作曲家,住宅,住宅,住宅,普通居住区/小区,采风,步行/自行车,2
"沈乙鱼 男 小混混 19岁
沈菊民的二儿子。憧憬着20世纪80年代香港警匪片里的热血江湖。打架斗殴是家常便饭，到派出所报到也是司空见惯。",无业游民,街道,厂,派出所,普通居住区/小区,,步行/电瓶车/汽车,10
,健身教练,店,店,家,镇北民宅,健身,轿车/哈雷摩托,8
,派出所民警,单位,单位,家,镇内住宅楼,葛优瘫,轿车/电瓶车,30
,宠物博主,家,家,家,镇北民宅,虚荣/引起关注,轿车,6
,兽医,店,店,家,店内房间,毛茸茸,单车/轿车,12
,乐队键盘手,家,家,家,镇内住宅楼,,摩托车,8
,服装店店主,家,家,家,镇内老住宅,时尚,轿车,
,外来打工者,单位,单位,家,镇内老住宅,网游,电瓶车,8
,律师,单位,单位,家,镇北民宅,维护正义,轿车,30
,植物人,医院,医院,医院,医院,挂点滴,,10
,推拿师傅,店,店,家,镇内住宅楼,聊天,电瓶车,50
,实习生,单位,单位,家,镇内住宅楼,猫狗/七星瓢虫,轿车/电瓶车,2
,教授,家,店,家,镇内住宅楼,度假/论文,轿车,5
,咖啡厅老板,店,店,店,镇内住宅楼,泡咖啡,轿车,40
,退休,公园,家,公园,镇北民宅,遛狗,轿车,5
,导游,野外,野外,家,镇内住宅楼,聊天,轿车/电瓶车,45
,渔民,船,船,船,船/北郊民宅,喝酒,船/电瓶车,29
,农场主,农田,家,家,农场内宅/镇内宅,喝酒,轿车/货车,47
,摄影师,野外,野外,家,镇内旅馆,旅游,轿车,2
,来调研的大学生,野外,野外,家,镇内旅馆,看书,电瓶车,1
,镇上的领导,家,单位,家,镇内住宅楼,聊天,轿车,49
,高级工程师,单位,单位,家,镇北民宅,看书,轿车,8
,牧师,教堂,教堂,教堂,教堂,传教,轿车,15



描述,工作,不同时段身处何处,,,住处,爱好,出行工具,居住年份
,,上午,下午,晚上,,,,
"1.小明很喜欢学校的生活，学校要求学生们带着虚拟现实头盔上学，在课堂上，在头盔中有""虚拟者""老师反复演示着动作。小明
可以来回观看并学习。
2.小明的日常娱乐是带上虚拟现实头盔与同学们在虚拟战场上大战。
3.小明很喜欢音乐，他通过网上共享的音乐学习资源，用虚拟头盔现场观摩并且在虚拟大师的陪伴下掌握了音乐技能。他现在在
网络社区分享他的谱曲与演奏。",高中生,学校,学校,家里,普通居住区/小区,创作音乐,校车,17
"1.老罗管理着自己的上百亩水田，他不用亲自去插秧，他负责的工作就是管理机器的各种参数，和从虚拟专家的建议中选取适当的
种植策略。
2.老罗的农产品并不卖给批发商，他的货物可以直接通过快递到达需要这些作物的人的手里。
3.老罗的农产品带有微芯片，采用了区块链技术，消费者可以直接跟踪这个作物的一生而不用担心有假。",农田主,田,田,家里,普通居住区/小区,,汽车,47
"1.大山是黑客，他主要从事的是信息猎手，他到丁栅主要是想来获取某些被保护的珍稀水生植物DNA的信息。在侦察了一周后，大山
决定明晚动手。
2.大山的单子是从网上的平台接的,付款的方式是匿名的数字货币，先定金完成后再付余款。这个平台上还有对这些黑客的排名，是
根据他们的接单数和难度得出的。大山排名在中上。",黑客,未知,未知,未知,不起眼的住处,钻研信息技术,未知,一周
"1.阿娟无需做菜，也无需打扫。她需要做的就是根据预算选择今天的菜品。
2.阿娟在家闲的时候就在社区分享自己和家人的日常，她还乐意分享自己的女红技术。通过一个软件她制作了自己的虚拟者，
成千上万的妇女通过她的虚拟者学到了这个即将失传的技术。她们还如约到丁栅进行线下交流心得。",生活主播,家,家,家里,普通居住区/小区,分享自己的女红技术,步行,14
"1.诚哥的日常就是坐在办公室里，监控着他这片区域的数据流。并且通过虚拟现实头盔，可以直接观察实地清况。
2.最近系统没有什么发出什么特别的警告，但是诚哥在随意逛的时候却检测到了一些极细微的纳米机器人活动的痕迹，这引起了他的注意。",片警,警察局的监控室,警察局的监控室,家里,普通居住区/小区,,汽车,15
"1.老丁身体还算硬朗，多亏了随声穿戴设备的普及，个性化医疗着实帮了老丁的大忙，每天都有及时的数据反馈，以前哪里痛，哪里闷总是
每个准，现在可以知道，那些是大惊小怪，那些是真正需要关注的。
2.老丁喜欢搓麻将，他儿子给他买了个虚拟头盔，现在好了，几个老朋友直接带上头盔就能见面。",退休,家里,家里,家里,普通居住区/小区,麻将,不行,大于20年
"1.三叔是个蛮有名气的平面设计师，他的作品在各个平台上供人浏览，每当有人想要三叔的作品来当作别的用途的时候,只需要点击付款
按钮即可，价格根据用途区分。
2.三叔来丁栅是来获取灵感的，他最近正在酝酿一组水乡的系列作品，所以来实地感悟。
3.三叔通过及时通讯将暂住意愿发送到丁栅的每一户人家中，其中有意的可以与他联系，没过多久就得到了回应。",设计师,暂住在本地人家,在水田上,暂住在本地人家,暂住在本地人家,创作音乐,汽车,3天
"1.大吉的日常工作是处理镇上居民的数据，并且根据他们的数据在人工智能的建议下采取相应的政策。
2.大吉有些苦恼，镇上植物厂的老板想给他好处，让他以后在选择的时候能够往利于植物厂的方向选择。但大吉不确定能不能逃过
网络反腐系统的监督。",政府官员,办公室,办公室,家里,高档小区,,汽车,16年
,程序员,水上的悬浮小房,水上的悬浮小房,水上的悬浮小房,水上的悬浮小房,编程,不动,二个月
,上市公司老板,植物厂会议室,植物厂会议室,酒店,酒店,管理手下,汽车,一周
,植物厂的研究人员,植物厂研究室,植物厂的研究室,家里,高档小区,搞科研,汽车,二年
,船工学徒,船/家,船/家,船/家,普通居住区,游手好闲,步行/自行车/电瓶车,20
,船娘,船,船,船/家,船/普通居住区,看剧,步行/自行车/电瓶车,40
,渔民,船,船,家,船/普通居住区,,步行/自行车/电瓶车,30
