模型关系大纲: Table 1

模块名,核心输入,返回变量名,模型名,,,,规则,,,,,
模块1: 按天计算总地块的人员,,,,,,,,,,,,
,人口基数,总人数,03_总地块上人员总数动态模型,,,,人数变化=当天涌入量-当天涌出量,总人数=基数+变化,,,,
,职业种类,不同职业对应个数,01_总地块上各职业动态模型,02_总地块上数据对象静态模型,,,不同职业对应个数变化 = 当天涌入量*某职业涌入系数-当天某职业涌出人数,对应个数=基数+变化,,,,
,各职业涌入系数,,,,,,,,,,,
,时段(按天),,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
模块2: 一天中不同时段各场所人数,,,,,,,"1,爱好会有几个集中的时间段;","2,不同职业有不同的时间段","3, 一个人不能同时出现在两个场所","4, 所有人的行为和场所是通过计算可以确定的, 才能满足3","5, 要解决爱好和职业匹配时的冲突问题, 才可满足3,4","6, 假设每个人都有职业(无业)和爱好, 对城市来说, 整体职业和爱好的权重不同"
,不同职业对应个数,享乐系数,04_职业爱好权重,,,,城市类型 =>享乐系数 = 职业权重/爱好权重,,,,,
,各爱好占比,爱好/职业场所映射,05_爱好映射场所静态关系,06_职业映射场所静态关系,,,,,,,,
,场所种类,某时段各场所人数,07_各场所在各时段人数动态模型,,,,,,,,,
,城市类型,,,,,,,,,,,
,时段(按小时or早中晚),,,,,,,,,,,
,当天总人数,,,,,,,,,,,
,,,,,,,,,,,,
模块3: 各地块场所分布模型,,,,,,,,,,,,
,,,,,,,,,,,,
模块4: 各地块交通组织模型,,,,,,,,,,,,
,,,,,,,,,,,,
模块5: ,,,,,,,,,,,,

01_总地块上各职业动态模型: 01_总地块上各职业动态模型

当天涌入总人数,职业,职业涌入系数,停留年份时段,当天的涌入人数,当前涌出人数,前一天该职业人数,当天职业人数变化
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,

02_总地块上数据对象静态模型: 02_总地块上数据对象静态模型

数据对象编号,职业,涌入时间,涌出时间,停留年份时段,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,

03_总地块上人员总数动态模型: 03_总地块上人员总数动态模型

基数,当天涌入量,当天涌出量,当天出生人数(暂不),当天死亡人数(暂不),
,,,,,
当天总人数变化,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,

04_职业爱好权重: 04_职业爱好权重

城市类型,享乐系数,职业权重,爱好权重,
活力型,0.3,0.7,0.3,
发展型,0.5,0.5,0.5,
衰退型,0.8,0.2,0.8,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,

05_爱好映射场所静态关系: 05_爱好映射场所静态关系

爱好,对应场所,场所类型常量,爱好占比,
看电视剧,住房,住房,,
芭比娃娃,住房,工厂,,
打游戏,住房/娱乐,酒店,,
看书,文化场所/商场,船舶,,
瑜伽,体育馆,农田,,
慢跑,体育馆/公园,菜场,,
看连续剧,住房,娱乐,,
打篮球,体育馆/娱乐,公园,,
画画,,宗教场所,,
摄影,,医院,,
看电影,,学校,,
喝酒,,体育馆,,
种田,,商场,,
踏青/采风,,文化场所,,
Vr游戏,,,,
踏青/采风,,,,
采风,,,,
动画片,,,,
健身,,,,
葛优瘫,,,,
虚荣/引起关注,,,,
毛茸茸,,,,
写代码,,,,
时尚,,,,
网游,,,,
维护正义,,,,
挂点滴,,,,
猫狗/七星瓢虫,,,,
度假/论文,,,,
泡咖啡,,,,
遛狗,,,,
聊天,,,,
喝酒,,,,
旅游,,,,
传教,,,,
创作音乐,,,,
钓鱼,,,,
钻研信息技术,,,,
分享自己的女红技术,,,,
划船,,,,
麻将,,,,
创作音乐,,,,
台球,,,,
编程,,,,
管理手下,,,,
搞科研,,,,
游手好闲,,,,
养花,,,,
玩耍,,,,
打架闹事,,,,
网游,,,,
看电视,,,,
钓鱼,,,,
大保健等娱乐活动,,,,
偷玩电脑,,,,
运动/和伙伴交流,,,,
捉鳖/教书育人,,,,
跳舞/和闺蜜聊天,,,,
音乐,,,,
吃菱角/畅想未来,,,,
和小伙伴玩,,,,
看舌尖上的中国,,,,
打麻将,,,,
麻将,,,,
打篮球,,,,
拍照,,,,
抗日神剧,,,,
充电,,,,
听评书,,,,
嫖娼/抽烟,,,,
玩无线电,,,,
吃喝嫖赌,,,,
研究厨艺,,,,
刷抖音,,,,
网球,,,,
打牌,,,,
织毛衣,,,,
吃夜宵,,,,
撸管子,,,,
玩电子货币,,,,
玩快手,,,,
买包/炫富,,,,
吃骨头,,,,
唱戏,,,,
骑车,,,,
做菜,,,,
买彩票,,,,
增肌,,,,
吹牛,,,,
,,,,

06_职业映射场所静态关系: 06_职业映射场所静态关系

职业,对应场所,场所类型常量,职业占比,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,

07_各场所在每个时段人数的动态模型: 07_各场所在每个时段人数的动态模型

场所常量\时段,早,中,晚,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
